Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt,Habitat_Source,Source_Sheet,Month,Month_Name,Season,Start_Hour,Sky_Clean,Distance_Clean,Distance_Rank,Wind_Category,Disturbance_Level,Interval_Mid_Min,At_Risk
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,8.75,True
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,1.25,True
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,American Crow,Corvus brachyrhynchos,179731.0,87106.0,AMCR,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,True
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Yellow Warbler,Setophaga petechia,950039.0,773778.0,YEWA,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,8.75,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,False,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,6.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,8.75,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,False,Undetermined,Downy Woodpecker,Picoides pubescens,178259.0,84936.0,DOWO,False,True,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,True
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Baltimore Oriole,Icterus galbula,179083.0,93655.0,BAOR,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,8.75,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309.0,85791.0,GCFL,False,False,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,3.75,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,8.75,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,3.75,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,True,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,1.25,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,True,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,1.25,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,True,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,1.25,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,8.75,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,8.75,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,6.25,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,6.25,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,False,Undetermined,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,3.75,True
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,<= 50 Meters,1.0,Light Air,None,6.25,False
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,,False,Forest,ANTI,5,May,Spring,7,Mist/Drizzle,50 - 100 Meters,2.0,Light Air,None,3.75,True
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Blue Jay,Cyanocitta cristata,179680.0,86252.0,BLJA,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,8,Partly Cloudy,50 - 100 Meters,2.0,Light Breeze,Moderate,1.25,False
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,8,Partly Cloudy,<= 50 Meters,1.0,Light Breeze,Moderate,8.75,False
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,American Goldfinch,Spinus tristis,179236.0,95300.0,AMGO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,8,Partly Cloudy,50 - 100 Meters,2.0,Light Breeze,Moderate,1.25,False
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Visualization,,True,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,8,Partly Cloudy,nan,,Light Breeze,Moderate,1.25,False
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,8,Partly Cloudy,50 - 100 Meters,2.0,Light Breeze,Moderate,1.25,True
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,8,Partly Cloudy,50 - 100 Meters,2.0,Light Breeze,Moderate,3.75,True
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,True,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179045.0,93613.0,RWBL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,8,Partly Cloudy,nan,,Light Breeze,Moderate,6.25,False
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,8,Partly Cloudy,50 - 100 Meters,2.0,Light Breeze,Moderate,3.75,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,9,Partly Cloudy,50 - 100 Meters,2.0,Light Air,Moderate,1.25,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,<= 50 Meters,1.0,Light Air,Moderate,6.25,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Male,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,<= 50 Meters,1.0,Light Air,Moderate,8.75,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,<= 50 Meters,1.0,Light Air,Moderate,8.75,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,True,Forest,ANTI,5,May,Spring,9,Partly Cloudy,<= 50 Meters,1.0,Light Air,Moderate,1.25,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,False,Undetermined,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,<= 50 Meters,1.0,Light Air,Moderate,6.25,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,50 - 100 Meters,2.0,Light Air,Moderate,6.25,True
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,50 - 100 Meters,2.0,Light Air,Moderate,3.75,False
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,,False,Forest,ANTI,5,May,Spring,9,Partly Cloudy,50 - 100 Meters,2.0,Light Air,Moderate,6.25,True
